LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID,FCA_DATE,ASSET_CONDITION
Civic Center Park,213,None,None,1,Park Circulation,Concrete,0.01303376,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71695,108603,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Concrete,0.00483001,None,None,City & County of Denver,None,2013,None,WLKTRL,WLK-HARD,76415,114880,2019-01-01 00:00:00,Good
First Creek Park,586,None,None,1,Park Circulation,Crusher Fines,0.00804645,5.0,None,City & County of Denver,None,2019,None,WLKTRL,WLK-SOFT,77069,None,2021-05-21 00:00:00,100
Williams Park,225,None,None,1,Park Circulation,Concrete,0.02489192,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74009,104390,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Right of Way Walk,Concrete,0.00357495,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72084,105717,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.02819052,5.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75539,105383,2019-01-01 00:00:00,Good
Central Park,561,None,None,1,Park Circulation,Concrete,0.00514145,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73270,104319,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Concrete,0.00384808,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73779,105154,2019-01-01 00:00:00,Good
42nd & Lisbon,522,None,None,1,Right of Way Walk,Concrete,0.01532108,5.0,None,City & County of Denver,None,2004,None,WLKTRL,WLK-ROW,75272,104580,2019-01-01 00:00:00,Good
Harvard Gulch,829,None,None,1,Park Circulation,Concrete,0.00476272,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72329,105735,2019-01-01 00:00:00,Good
Arkins Park,944,None,None,1,Park Circulation,Concrete,0.02190651,16.0,None,City & County of Denver,None,2020,None,WLKTRL,WLK-HARD,77255,None,2021-05-12 00:00:00,100
